CSDNAME,count,unique,min,max,range,sum,mean,median,stddev,minority,majority,q1,q3,iqr,Mean in Percentage
Grandview,15,2,0,1,1,5,0.333333333333333,0,0.471404520791032,1,0,0,1,1,33.3333333333333
Ethelbert,23,2,0,1,1,4,0.173913043478261,0,0.379034690742667,1,0,0,0,0,17.3913043478261
Mossey River,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Lakeshore,28,2,0,1,1,21,0.75,1,0.433012701892219,0,1,0.5,1,0.5,75
Riverdale,2,1,1,1,0,2,1,1,0,1,1,1,1,0,100
Norfolk-Treherne,20,2,0,1,1,18,0.9,1,0.3,0,1,1,1,0,90
Victoria,14,2,0,1,1,10,0.714285714285714,1,0.451753951452626,0,1,0,1,1,71.4285714285714
Killarney - Turtle Mountain,28,1,1,1,0,28,1,1,0,1,1,1,1,0,100
Boissevain-Morton,32,2,0,1,1,28,0.875,1,0.330718913883074,0,1,1,1,0,87.5
Deloraine-Winchester,18,2,0,1,1,17,0.944444444444444,1,0.229061423645426,0,1,1,1,0,94.4444444444444
Brenda-Waskada,23,2,0,1,1,22,0.956521739130435,1,0.203931119992323,0,1,1,1,0,95.6521739130435
Brokenhead,1,1,1,1,0,1,1,1,0,1,1,1,1,0,100
Ste. Rose,13,2,0,1,1,11,0.846153846153846,1,0.36080121229411,0,1,1,1,0,84.6153846153846
Montcalm,4,1,1,1,0,4,1,1,0,1,1,1,1,0,100
Rhineland,1,1,1,1,0,1,1,1,0,1,1,1,1,0,100
Stanley,7,2,0,1,1,3,0.428571428571429,0,0.494871659305393,1,0,0,1,1,42.8571428571429
"Division No. 19, Unorganized",26,2,0,1,1,13,0.5,0.5,0.5,0,0,0,1,1,50
Peguis 1B,2,1,1,1,0,2,1,1,0,1,1,1,1,0,100
Minitonas-Bowsman,29,2,0,1,1,26,0.896551724137931,1,0.304543478149236,0,1,1,1,0,89.6551724137931
Mountain (North),20,2,0,1,1,12,0.6,1,0.489897948556636,0,1,0,1,1,60
Fisher,35,2,0,1,1,19,0.542857142857143,1,0.498159879261791,0,1,0,1,1,54.2857142857143
Bifrost-Riverton,31,2,0,1,1,27,0.870967741935484,1,0.335235640174621,0,1,1,1,0,87.0967741935484
"Division No. 18, Unorganized, East Part",4,1,1,1,0,4,1,1,0,1,1,1,1,0,100
Swan Valley West,47,2,0,1,1,36,0.765957446808511,1,0.423398909407072,0,1,1,1,0,76.5957446808511
"Division No. 20, Unorganized, North Part",1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Oakview,25,2,0,1,1,24,0.96,1,0.195959179422654,0,1,1,1,0,96
Hamiota,12,1,1,1,0,12,1,1,0,1,1,1,1,0,100
Armstrong,48,2,0,1,1,17,0.354166666666667,0,0.478260011802042,1,0,0,1,1,35.4166666666667
St. Laurent,10,2,0,1,1,1,0.1,0,0.3,1,0,0,0,0,10
Coldwell,24,2,0,1,1,20,0.833333333333333,1,0.372677996249965,0,1,1,1,0,83.3333333333333
West Interlake,37,2,0,1,1,19,0.513513513513513,1,0.499817351592079,0,1,0,1,1,51.3513513513513
Grahamdale,35,2,0,1,1,16,0.457142857142857,0,0.498159879261791,1,0,0,1,1,45.7142857142857
Ellice-Archie,19,2,0,1,1,15,0.789473684210526,1,0.407682457495518,0,1,1,1,0,78.9473684210526
Lorne,18,2,0,1,1,17,0.944444444444444,1,0.229061423645426,0,1,1,1,0,94.4444444444444
Thompson,11,1,1,1,0,11,1,1,0,1,1,1,1,0,100
Roland,7,1,1,1,0,7,1,1,0,1,1,1,1,0,100
Woodlands,29,2,0,1,1,22,0.758620689655172,1,0.427919780896237,0,1,1,1,0,75.8620689655172
Rockwood,11,2,0,1,1,10,0.909090909090909,1,0.287479787288034,0,1,1,1,0,90.9090909090909
Dufferin,14,1,1,1,0,14,1,1,0,1,1,1,1,0,100
Pembina,30,2,0,1,1,27,0.9,1,0.3,0,1,1,1,0,90
Russell-Binscarth,20,2,0,1,1,17,0.85,1,0.357071421427142,0,1,1,1,0,85
Prairie View,33,2,0,1,1,28,0.848484848484849,1,0.358550289884825,0,1,1,1,0,84.8484848484849
Yellowhead,27,2,0,1,1,25,0.925925925925926,1,0.261891400439462,0,1,1,1,0,92.5925925925926
North Norfolk,30,2,0,1,1,29,0.966666666666667,1,0.17950549357115,0,1,1,1,0,96.6666666666667
Glenella-Lansdowne,31,2,0,1,1,23,0.741935483870968,1,0.437569676330663,0,1,0.5,1,0.5,74.1935483870968
WestLake-Gladstone,51,2,0,1,1,31,0.607843137254902,1,0.488231356783872,0,1,0,1,1,60.7843137254902
Grey,23,1,1,1,0,23,1,1,0,1,1,1,1,0,100
